odoo-account	git@github.com:GAHEOS/odoo-account	c559c16f98c94c44953d750afab83c4fadf08a11
odoo-analytic	git@github.com:GAHEOS/odoo-analytic	b1288cabcb8254e89ccae1cd9419d77dedaff44d
odoo-api	git@github.com:GAHEOS/odoo-api	0bba983396a1f461562495bfaab2bbca15edea07
odoo-ec	git@github.com:GAHEOS/odoo-ec	4ee8ed72af6d43b40d1e15c20fa51071c59cdd34
odoo-event	git@github.com:GAHEOS/odoo-event	689237c0172b66b4dccc1df85f246b04278bb1b0
odoo-latam	git@github.com:GAHEOS/odoo-latam	733cdd2d7a0b84bbced7228c9ea9c744b6d71e78
odoo-misc	git@github.com:GAHEOS/odoo-misc	41feec1fc84dc29c47acb9956683f38545db49e7
odoo-mrp	git@github.com:GAHEOS/odoo-mrp	17eac344bd6a4159528e5be65c24819b0d695a3f
odoo-payment	git@github.com:GAHEOS/odoo-payment	50cfe234d085452107a81e7744ac50d8bb17c0e0
odoo-purchase	git@github.com:GAHEOS/odoo-purchase	df62742a2dc61caf65d19f5db49c70d54a9dd925
odoo-store	git@github.com:GAHEOS/odoo-store	c5fc82b10190177459983587e8cf2fbbb812829f
